DISABLED	ID	parent class	label	Equivalence axiom	Equivalence Override	Subclass axiom	definition	comment	Exact Synonym	Broad Synonym	Minimum	Aves	Bovidae	Suina	Ursidae	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian	Chelicerata	Crustacea	Hexapoda	Other	Fish
	FOODON:02010030	piece of {organism} (with skin)	piece of {organism} (with skin, raw)	'piece of {organism} (with skin)' and 'has quality' some 'raw'			A piece of {organism} that contains the skin and is raw.					chicken|turkey	goat|buffalo|sheep|lamb																													
	FOODON:02010031	piece of {organism} (skinless)	piece of {organism} (skinless, raw)	'piece of {organism} (skinless)' and 'has quality' some 'raw'			A raw skinless piece of {organism}.					chicken|turkey	goat|buffalo|sheep|lamb																													
	FOODON:02010016	butchery cut of {organism}	{organism} fillet				A butchery cut of {organism} that is typically boneless.		fillet of {organism}			chicken|turkey																														ALL
	FOODON:02010017	{organism} fillet	{organism} fillet (raw)	'{organism} fillet' and 'has quality' some 'raw'			A raw {organism} fillet cut.					chicken|turkey																														ALL
	FOODON:02021802	{organism} fillet	{organism} fillet (skinless)	'{organism} fillet' and not ('has part' some ('derives from' some 'skin of body'))			a{n} {organism} fillet that is skinless.																																			ALL
	FOODON:02021803	{organism} fillet (skinless)	{organism} fillet (skinless, raw)	'{organism} fillet (skinless)' and 'has quality' some 'raw'			A raw skinless {organism} fillet																																			ALL
	FOODON:02021805	{organism} fillet	{organism} fillet (with skin)	'{organism} fillet' and 'has part' some ('derives from' some 'skin of body')			a{n} {organism} fillet that contains skin.																																			ALL
	FOODON:02021806	{organism} fillet (with skin)	{organism} fillet (with skin, raw)	'{organism} fillet (with skin)' and 'has quality' some 'raw'			A raw {organism} fillet that contains skin.																																			ALL
	FOODON:02010033	piece of {organism_base}	{organism} fat	'animal fat' and 'in taxon' some {taxon}	'piece of animal' and 'derives from' some 'adipose tissue'		Fat derived from a{n} {organism}.					chicken|turkey|duck|goose|poultry	beef|lamb|veal|sheep	pork									steller sea lion|walrus																			
	FOODON:02010034	{organism} fat	{organism} external fat				{organism} fat that is found around the outside of muscle of a meat cut.						beef|lamb|veal																													
